publisher,year_published
Strategic Change,2018
AATCC Review,2004
IEEE Access,2020
Chain Business Insights,2017
International Journal of Production Research,2020
Operations Management Research,2016
IEEE Engineering Management Review,2020
Transportation Research Part Logistics and Transportation Review,2019
Proceedings of the Hamburg International Conference of Logistics,2019
Supply Chain Management,2020
International Journal of Supply Chain Management,2019
Logforum,2020
Kybernetes,2019
International Journal of Supply Chain Management,2017
IUP Journal of Supply Chain Management,2018
International Journal of Operations and Quantitative Management,2019
Production Planning and Control,2020
Supply Chain Management,2016
International Journal of Information Technology and Management,2008
IEEE Transactions on Engineering Management,2020
INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE AND BUSINESS ADMINISTRATION,2017
Sustainability,2020
New Work and Employment,2000
Technological Forecasting and Social Change,2019
International Journal of Environmental Research and Public Health,2020
International Journal of Supply Chain Management,2020
Energy,2021
Logforum,2020
Supply Chain Management,2019
International Journal of Supply Chain Management,2019
Information Systems Research,2007
Sustainability,2020
International Journal of Operations Research and Information Systems,2020
X,2020
Industrial Marketing Management,2020
Journal of Japan Industrial Management Association,2015
Mobile Networks and Applications,2020
Informatics,2018
Journal of Automation and Information Sciences,2019
Production Planning and Control,2020
Nuclear Engineering and Technology,2020
AI and Society,2020
International Journal of and Mobile Applications,2020
Business Research,2020
Reinforced Plastics,2017
International Journal of Logistics Management,2020
Business Process Management Journal,2019
Journal of Cleaner Production,2020
Industrial Marketing Management,2017
Construction Innovation,2020
Supply Chain Forum,2020
University of Oxford,2019
New England Printer and Publisher,2006
International Journal of Lean Six Sigma,2020
Journal of Fiber Bioengineering and Informatics,2020
Supply Chain Management,2019
Annals of Operations Research,2018
Journal of Cases on Information Technology,2018
Supply Chain Management Review,2018
Digital Communications and Networks,2020
Journal of Digital Asset Management,2008
Revue scientifique et technique Office of,2020
Business Horizons,2019
Production Planning and Control,2020
Decision Sciences,2016
DEStech Transactions on Computer Science and Engineering,2018
Deloitte University Press,2017
Waste Management,2020
Business Horizons,2013
Construction and Architectural Management,2020
International Journal of Management,2020
Advances in Computers,2020
Results in Engineering,2020
International Journal for Research in Applied Science and Engineering Technology,2020
International Journal of Production Economics,2018
Production and Operations Management,2020
SSRN Electronic Journal,2019
Third Summit of ACMA Centre for Technology,2017
Supply Chain Europe,2012
Test Engineering and Management,2020
International Journal of Supply Chain Management,2019
Transportation Research Part Logistics and Transportation Review,2020
An Indian Journal,2014
Deloitte University Press,2017
Decision Sciences,2020
Academy of Strategic Management Journal,2018
Operations and Supply Chain Management,2020
Supply Chain Management Review,2017
Strategy,2016
Conservation and Recycling,2019
Benchmarking,2018
Performance,2016
The Journal of International Scientific Researches,2019
International Journal of Physical Distribution and Logistics Management,2016
Journal of Supply Chain and Customer Relationship Management,2020
JOURNAL OF KOREA TRADE,2007
Industrial Marketing Management,2019
EAI Endorsed Transactions on Energy Web,2020
Bulletin of the Transilvania University of Series Engineering Sciences,2016
Journal of Digital Asset Management,2007
International Journal of Advanced Science and Technology,2020
Capitale Culturale,2020
European Scientific ESJ,2018
Social Sciences,2019
Prometheus,2009
Global Business Economics Anthology,2016
Sustainability,2020
Journal of Payments Strategy and Systems,2018
Supply Chain Management,2019
Technology in Society,2020
Journal of Engineering and Technology Management,2018
Journal of Computational Information Systems,2009
Production and Operations Management,2018
Deloitte University Press,2017
Computer Aided Chemical Engineering,2003
BMC Health Services Research,2020
Innotrans,2019
Reinforced Plastics,2017
Vaccine,2017
Technology in Society,2018
MIT Sloan Management Review,2015
International Journal of Transportation Engineering and Technology,2019
IEEE Engineering Management Review,2020
Journal of Food Science,2017
Journal of Business Research,2017
American Journal of Operations Research,2020
International Journal of Supply Chain Management,2020
HIMSS Analytics,2018
Interfaces,1995
International Journal of Hospitality Management,2020
SSRN Electronic Journal,2020
Sensors,2018
Journal of Telecommunications and the Digital Economy,2017
International Journal of Production Research,2019
Energies,2017
Systems Research and Behavioral Science,2020
Journal of Global Economy,2018
Transportation Research Part Logistics and Transportation Review,2021
Marketing and Digital Technologies,2018
Industrial Management and Data Systems,2017
Sustainability,2020
Journal of Business Research,2020
Computer Weekly,2017
Journal of Electronic and Computer Engineering,2018
Proceedings of the International Conference of the System Dynamics Society,2006
Industrial Management and Data Systems,2020
Logforum,2020
Industrial Systems Engineering at Work,2016
International Journal of Accounting Information Systems,2020
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,2017
International Journal of Operations and Quantitative Management,2020
Journal of Air Transport Management,2020
Journal of Industrial Information Integration,2019
Revista de Economia Social y Cooperativa,2019
Applied Sciences,2019
Journal of Digital Asset Management,2008
Deloitte,2017
International Journal of Supply Chain Management,2020
IEEE Transactions on Engineering Management,2020
Technology Innovation Management Review,2020
International Journal of Supply Chain Management,2019
University of Oxford combined working papers and p,2019
Lecture Notes in Mechanical Engineering,2019
MIS Management Information Systems,2006
Management and Marketing,2020
IAME,2019
Supply Chain Management Review,2017
Computers in Industry,2021
IBM Journal of Research and Development,2019
Maritime Policy and Management,2020
Vaccine,2020
Systems Research and Behavioral Science,2020
Logforum,2020
Frontiers in Pharmacology,2020
Management Science,2003
Computer Fraud and Security,2020
International Journal of Simulation Modelling,2020
unknown,2016
Journal of Industrial Ecology,2017
Deloitte University Press,2016
Production and Operations Management,2020
Applied Sciences,2018
The International Journal of Applied Forecasting,2019
International Journal of Value Chain Management,2020
Asian Journal of Law and Society,2017
International Journal of Creativity and Change,2020
Journal of Enterprise Information Management,2004
International Journal of Advanced Trends in Computer Science and Engineering,2020
International Journal of Integrated Supply Management,2020
Sustainability,2018
International Journal of Supply Chain Management,2019
IOP Conference Earth and Environmental Science,2009
International Journal of Supply Chain Management,2019
Conservation and Recycling,2020
Computers in Industry,2020
Frontiers in ICT,2019
Industrial Management Data Systems,2016
Rutgers Business Review,2018
Construction and Architectural Management,2020
Journal of Cleaner Production,2017
Architectural Engineering and Design Management,2016
European Journal of Business and Management Research,2020
Supply Chain Pulse,2020
Technological Forecasting and Social Change,2021
Automation in Construction,2021
The Chemical Engineer,2018
International Journal of Information Management,2020
Sustainability,2020
Production Planning and Control,2020
Logforum,2020
International Journal of Production Economics,2014
Journal of Advanced Research in Dynamical and Control Systems Special,2019
Industry and Innovation,2020
Optimum Ekonomi ve Yönetim Bilimleri Dergisi,2020
Journal of Aeronautics Aerospace Engineering,2019
Canadian Apparel,2001
European Logistics Study,2015
International Journal of Sustainable Engineering,2019
Journal of Supercomputing,2013
Journal of Reviews on Global Economics,2018
Computers and Security,2017
ICES Journal of Marine Science,2020
Benchmarking,2020
Procedia Manufacturing,2017
International Journal of Scientific and Technology Research,2020
International Journal of Production Economics,2019
Conservation and Recycling,2021
SupplyChain,2014
International Journal of Supply Chain Management,2019
Processes,2019
IEEE Internet of Things Journal,2019
Papers in Canadian Economic Development,2019
IEEE Transactions on Engineering Management,2020
Deloitte,2017
Gestao e Producao,2021
Annual Reviews in Control,2020
IERI Procedia,2014
Procedia Manufacturing,2017
CAB Perspectives in Veterinary Nutrition and Natural Resources,2020
International Journal of Organizational Innovation,2018
International Journal of Supply Chain Management,2019
International Journal of Scientific and Technology Research,2020
Deloitte,2017
International Journal of Operations and Production Management,2019
Production Planning and Control,2020
MIS Management Information Systems,2018
International Journal of Training and Development,2020
International Journal of Information Systems and Supply Chain Management,2012
International Journal of Logistics Management,2018
Organization Science,2012
Harvard Business Review,2019
Logistics Journal,2019
Production Planning and Control,2020
Manufacturing Letters,2019
Computers in Industry,2019
IEEE Transactions on Information Forensics and Security,2020
International Journal of Automation Technology,2020
Journal of Humanistic Psychology,2020
Deloitte Insights,2019
Marketing Intelligence and Planning,2018
International Journal of Business Ecosystem and Strategy,2019
International Journal of Performance Arts and Digital Media,2019
Journal of Intelligent Manufacturing,2012
International Journal of Production Research,2009
Journal of Manufacturing Technology Management,2020
Digitalisation of Procurement,2019
International Journal of Business Administration,2019
International Journal of Operations and Production Management,2020
International Journal of Business Economic Development,2016
Kybernetes,2018
International Journal of Advanced Trends in Computer Science and Engineering,2020
Cambridge International Manufacturing Symposium,2018
Policy,2011
CGD Policy Paper,2019
Supply Chain Management,2014
Design Management Review,2015
Journal of Systems Science and Complexity,2017
Marketing Letters,2021
Architectural Engineering and Design Management,2018
CGD Policy Paper,2019
ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb,2019
The Boston Consulting Group,2017
Journal of Theoretical and Applied Information Technology,2020
Baltic Journal of Management,2018
Logforum,2020
ACS Synthetic Biology,2020
Production and Operations Management,2017
Material Handling Logistics,2016
Computers in Industry,2018
Materials Circular Economy,2020
Smart and Sustainable Manufacturing Systems,2019
McKinsey Company,2014
Strategy and PWC,2016
International Journal of Simulation Modelling,2014
Journal of Business Research,2018
International Journal of Network and System Sciences,2018
Supply Chain,2016
Annals of Operations Research,2020
Uncertain Supply Chain Management,2020
International Journal of Logistics Management,2020
Test Engineering and Management,2020
International Journal of Logistics Management,2020
Applied Health Economics and Health Policy,2018
Pharmazeutische Industrie,2015
International Marketing Review,2020
JMM International Journal on Media Management,2015
International Journal of Operations and Production Management,2019
Journal of Industrial Information Integration,2020
Waste Management,2019
JASSS,2006
SMART MOVES JOURNAL IJOSCIENCE,2019
Sustainability,2018
Deloitte,2019
International Journal of Scientific and Technology Research,2019
Deloitte Insights,2018
Processing,2018
Production and Manufacturing Research,2020
OECD Digital Economy Papers,2019
International Journal of Supply Chain Management,2019
International Journal of Research in Science and Management,2019
and Financial Markets,2019
Agricultural Economics,2016
the Innovate Uk,2018
Food and Agriculture Organization of the United Nations,2018
Harvard Business Review,2019
Rapid Prototyping Journal,2018
AATCC Review,2002
Industrial Marketing Management,2019
